Median_House_Value,Median_Income,Median_Age,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,Rooms_Per_House,Bedrooms_Ratio,People_Per_House
103000.0,3.2596,33,2300,623,32.71,-117.03,12116.2080721913,187011.810758629,12280.8415088231,678476.21353103,746477.057923294,5.017656500802568,0.20057581573896352,3.691813804173355
382100.0,3.8125,49,1314,756,33.77,-118.16,2155.28172819619,32319.2441767498,149572.305234662,520697.455567984,588673.823265623,4.473544973544974,0.23270254287403902,1.7380952380952381
172600.0,4.1563,4,915,336,34.66,-120.48,13455.1465572731,216117.671543905,375504.548481524,323507.586181516,387965.070983258,5.645833333333333,0.17448603057459147,2.7232142857142856
93400.0,1.9425,36,1418,355,32.69,-117.11,5214.68703786203,184461.172514324,5571.28237219865,675484.355295084,743459.721899713,4.002816901408451,0.2582688247712878,3.9943661971830986
96500.0,3.5542,43,874,380,36.78,-119.8,176663.234589925,334484.232437265,512157.659744616,195724.414619907,257705.081868735,6.268421052631579,0.1809403862300588,2.3
264800.0,6.6227,20,2695,801,37.42,-121.86,19679.8328401186,496672.07643262,675438.751212395,9840.88780276952,63894.6881218299,6.282147315855181,0.16057233704292528,3.3645443196004994
157300.0,2.5192,28,1355,388,34.04,-117.97,36724.9598971813,25252.3660475756,165299.944952126,509611.538940754,577634.806398646,4.345360824742268,0.24733096085409254,3.4922680412371134
500001.0,7.9892,37,999,417,37.91,-122.53,5738.59135977945,576708.403738854,755279.184375575,85018.5900948438,17432.8811346472,6.052757793764988,0.1576862123613312,2.3956834532374103
139800.0,1.5,5,819,311,34.13,-117.9,48310.5079348923,32808.3276791639,171558.927658869,506796.918752271,574777.465755439,3.620578778135048,0.28063943161634103,2.6334405144694535
315600.0,6.4266,5,9427,2777,34.02,-117.79,42616.2978586913,41958.2189889751,156344.739620482,522631.874595513,590618.184368513,6.730284479654303,0.15313001605136436,3.394670507742168
231900.0,4.2167,52,653,171,37.72,-122.45,5750.38961679268,556577.213673458,734883.475693087,65119.0358566378,6222.63281522415,5.742690058479532,0.20061099796334012,3.818713450292398
159400.0,2.2303,25,1710,575,33.97,-118.35,13038.0524720519,13403.1894624799,177896.250658568,492378.683701753,560358.427368711,3.2417391304347825,0.33047210300429186,2.973913043478261
96000.0,2.875,13,750,308,37.46,-119.72,171982.894033459,401644.226507862,576564.084491321,192454.314616523,241336.332498843,6.490259740259741,0.1875937968984492,2.435064935064935
187500.0,2.0972,36,3561,632,37.33,-121.88,23557.9043070577,490504.445913765,669043.082219848,1303.10553824387,69275.1466289222,3.0126582278481013,0.36186974789915966,5.6344936708860756
229900.0,2.8125,46,714,295,34.18,-118.34,23689.1578002053,16746.7572453857,196143.081180322,475206.94466419,543238.941282001,4.722033898305085,0.21608040201005024,2.4203389830508475
117700.0,3.1667,36,1872,514,33.89,-118.23,14953.5197108917,18083.7832609374,164062.282750381,506292.70593095,574286.021655384,5.054474708171206,0.19784449576597382,3.642023346303502
169600.0,2.8924,52,1169,439,36.67,-121.65,14273.1036023689,424371.653433966,601308.021235021,77080.7037062611,140905.684335349,5.355353075170843,0.19523606975754998,2.662870159453303
130800.0,4.4063,20,2071,714,38.03,-121.34,16484.5968757132,522544.141837566,701760.428571543,91281.9266376484,99892.0914688696,5.900560224089636,0.17825777355803465,2.9005602240896358
157400.0,4.233,34,1948,532,34.32,-118.43,34372.3976985138,34354.0787989151,213675.26377948,458078.870302064,526113.937221965,4.9943609022556394,0.19382762514113663,3.661654135338346
94100.0,1.4329,21,1283,277,33.93,-118.28,13125.6753072811,13998.2379064817,170403.672926467,499922.5120358,567912.706806128,3.0577617328519855,0.3282172373081464,4.631768953068592
72700.0,2.1935,31,1049,335,34.16,-117.34,80572.2376884711,84059.778564417,161450.525318665,541634.238573047,609266.290699431,4.794029850746269,0.22042341220423411,3.1313432835820896
500001.0,8.5425,35,1325,476,37.24,-121.98,27675.7242692026,489428.291985859,667507.784940203,13111.7642501717,71484.6311120419,7.508403361344538,0.13570229434806938,2.783613445378151
95800.0,2.7171,22,1048,358,38.94,-123.15,37830.3601499845,698127.542179018,877329.374457001,209557.594331862,144005.290632221,6.0418994413407825,0.20157189089227925,2.9273743016759775
97500.0,1.575,43,1100,311,33.98,-118.28,17081.6671850237,8701.70606022052,174823.89887914,495659.524486021,563664.8555554,3.987138263665595,0.25161290322580643,3.536977491961415
78800.0,2.2583,18,247,107,40.89,-122.31,153411.027208241,840493.358140878,1017504.33046059,396876.86729279,346643.410315915,7.046728971962617,0.21352785145888595,2.308411214953271
292000.0,5.4171,52,722,306,37.89,-122.28,4746.33228289721,560267.825380346,739188.394307419,70453.8889141935,18520.4971855272,6.764705882352941,0.15893719806763285,2.3594771241830066
42500.0,0.8252,15,145,40,39.48,-121.57,155310.529355421,672211.199886701,849793.252835492,240114.57465916,203920.161404024,5.05,0.26732673267326734,3.625
187500.0,3.5039,46,910,252,34.08,-118.26,23727.7845882224,3433.74710508388,182807.53866507,488421.688487725,556450.972544369,3.75,0.26455026455026454,3.611111111111111
218200.0,3.8792,22,810,295,33.8,-118.07,8708.92308501331,32302.3657307097,147233.610470543,523458.089779334,591469.873778521,4.715254237288136,0.24299065420560748,2.7457627118644066
87500.0,2.4881,29,1019,314,36.06,-120.79,58081.2479037715,321783.243534292,499081.216150424,172582.628642649,240017.630241293,6.101910828025478,0.20146137787056367,3.245222929936306
146300.0,2.7216,32,1224,461,33.12,-117.07,23284.1724499287,150215.413171141,45749.1010080239,641388.455523265,709421.898682395,5.366594360086768,0.2016976556184317,2.6550976138828633
137400.0,4.071,2,1368,430,34.55,-118.01,74738.7376219376,59365.4756214697,218576.530396219,466959.416580319,534715.562579999,6.28139534883721,0.19622362088115514,3.181395348837209
276700.0,2.825,39,1113,356,33.99,-118.4,10252.3167047957,15982.3496179565,182528.401742929,487733.38542944,555701.332327759,4.530898876404494,0.23558586484810912,3.1264044943820224
180500.0,2.5119,37,850,198,34.08,-118.06,37806.8103531592,17198.9486562672,173134.560250044,500717.23929982,568746.660585525,3.9292929292929295,0.2634961439588689,4.292929292929293
155300.0,3.4421,31,1886,799,32.79,-117.01,19679.5171359474,181127.684841299,16365.2697123376,672820.472963278,740839.61334347,4.725907384230288,0.21583686440677965,2.360450563204005
276000.0,3.5893,35,868,272,33.88,-118.11,15158.2911799822,22776.6636475212,156643.165277038,514289.902957914,582310.292709741,5.966911764705882,0.18730745532963647,3.1911764705882355
75800.0,2.0119,17,1528,517,40.66,-122.36,153136.779573913,819636.019606991,997124.614093924,371864.031861608,320970.40890545,5.388781431334623,0.20064608758076094,2.955512572533849
167600.0,3.1901,52,3731,892,33.97,-118.21,20960.2788472038,9656.79569100359,170129.308610064,500687.157864493,568706.266600858,4.7309417040358746,0.21516587677725119,4.182735426008969
